content_id,Name,Year,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
369,The Silence of the Lambs,1991,8.6,1336681,Crime.Drama.Thriller,118,Film,R,1,Moderate,Severe,Moderate,None,Severe
370,Love & Other Drugs,2010,6.7,190511,Comedy.Drama.Romance,112,Film,R,1,Severe,Mild,Severe,Moderate,Mild
371,Saturday Night Live,2010,8,45651,Comedy.Music,90,Series,TV-14,915,Moderate,Mild,Moderate,Moderate,None
372,Star Trek: Discovery,2010,7.2,103517,Action.Adventure.Drama,60,Series,TV-14,53,Mild,Moderate,Moderate,None,Moderate
373,Red Rocket,2021,7.4,512,Comedy.Drama,128,Film,R,1,Severe,No Rate,No Rate,No Rate,Mild
374,Scrubs,2021,8.3,244809,Comedy.Drama,22,Series,TV-14,182,Mild,Mild,Mild,Mild,Mild
375,Hush,2016,6.6,117663,Horror.Thriller,82,Film,R,1,None,Severe,Moderate,None,Severe
376,Line of Duty,2016,8.7,49699,Crime.Drama.Mystery,60,Series,TV-14,36,Mild,Severe,Mild,Mild,Moderate
377,Gunpowder Milkshake,2021,6,30807,Action.Crime.Thriller,114,Film,R,1,None,Severe,Moderate,Mild,Moderate
378,Pleasure,2021,6.9,698,Drama,109,Film,NULL,1,No Rate,No Rate,No Rate,No Rate,No Rate
379,Agents of S.H.I.E.L.D.,2021,7.5,207705,Action.Adventure.Drama,45,Series,TV-PG,136,Mild,Moderate,Mild,Mild,Moderate
380,The Good Place,2021,8.2,133186,Comedy.Drama.Fantasy,22,Series,TV-PG,50,Mild,Mild,Mild,Mild,None
381,Candyman,1992,6.7,83944,Horror.Thriller,99,Film,R,1,Moderate,Severe,Moderate,Mild,Severe
382,True Blood,1992,7.8,235708,Drama.Fantasy.Mystery,55,Series,TV-MA,81,Severe,Severe,Severe,Moderate,Moderate
383,Shadow and Bone,1992,7.7,66152,Action.Adventure.Drama,NULL,Series,TV-14,16,Mild,Moderate,None,Mild,Moderate
384,How to Get Away with Murder,1992,8.1,139455,Crime.Drama.Mystery,43,Series,TV-14,90,Moderate,Moderate,Mild,Moderate,Moderate
385,Thir13en Ghosts,2001,5.6,83586,Fantasy.Horror,91,Film,R,1,Moderate,Severe,Moderate,None,Severe
386,The Fall,2001,8.1,93338,Crime.Drama.Thriller,60,Series,TV-MA,17,Severe,Moderate,Moderate,Moderate,Severe
387,Mad Max: Fury Road,2015,8.1,930996,Action.Adventure.Sci-Fi,120,Film,R,1,Mild,Moderate,Mild,Mild,Moderate
388,Mindhunter,2015,8.6,244658,Crime.Drama.Thriller,60,Series,TV-MA,19,Severe,Severe,Moderate,Mild,Moderate
389,Man on Fire,2004,7.7,345641,Action.Crime.Drama,146,Film,R,1,Mild,Severe,Moderate,Mild,Severe
390,Tusk,2014,5.3,49430,Comedy.Drama.Horror,102,Film,R,1,Moderate,Severe,Severe,Mild,Severe
391,Red Election,2014,6.1,252,Thriller,NULL,Series,NULL,10,No Rate,No Rate,No Rate,No Rate,No Rate
392,The World Is Not Enough,1999,6.4,194551,Action.Adventure.Crime,128,Film,PG-13,1,Moderate,Moderate,Mild,Mild,Moderate
393,Halloweentown,1998,6.7,15617,Adventure.Comedy.Family,84,Film,TV-G,1,None,Mild,None,None,Mild
394,Invincible,1998,8.7,92233,Animation.Action.Adventure,50,Series,TV-MA,13,Mild,Severe,Moderate,Mild,Severe
395,Perry Mason,1998,8.2,6949,Crime.Drama.Mystery,60,Series,TV-PG,271,None,None,None,Mild,None
396,Chesapeake Shores,1998,7.5,6379,Drama.Family,42,Series,TV-PG,45,No Rate,No Rate,No Rate,No Rate,No Rate
